ID,Topic_Choice,Class_Time,Discussion_Boards,Student_Led_Class,Case_Studies,Podcasts,Interviews,Class_Lead,Miscellaneous,Comments
1,5,4,5,5,,,3,5,,"Starting with EU/EV stuff was helpful, maybe more small group discussion (large is a bit intimidating. "
2,4,5,5,4,5,,,,5,"Too much time on Garcia-Retarnaro article, SDM very useful. like discussion based nature of course, clarify which part of student led class important for final. Like how case study tailer to specific interests. "
3,5,5,4,5,,4,,4,,Liked Gillon's 4 principles. Enjoyed discussion time and student led clas days. Recommends minimizing chatgpt usage since group members for leading a class were a bit too over-reliant. More initial direction with assignments would be helpful. 
4,5,4,5,5,,,4,5,,"Enjoyed surrogate decision making topic. Could space out projects more (first half lighter load, intense at end). "
5,5,5,5,5,4,5,,,,hard to participate in class because some people were more vocal or quicker on their feet to respond. 
6,5,5,4,5,,,,5,5,calculation stuff at start of course didnt really match rest of the course style. Sometimes discussion board felt a bit repetitive after also talking in class(like activity discussions like debate/role play) Loved student classes and getting to be creative with their own project
7,5,5,4,5,5,,4,,,Would love to talk more on decisions about medically assisted suicide
8,5,5,4,5,,,5,,5,Great class and course material felt applicable outside of medicine too
9,5,5,4,5,5,,4,,,Loved ethics conversation (and SDM). Loved doing case studies - made them think critically about a real life scenario.
10,4,4,2,2,,3,,3,,Lively discussions. More engaged in class discussion then online. Student led days were ok but not sure if it got across the material the professor wanted taught. More guidance was necessary and would've been helpful
11,4,4,4,5,,4,,4,,Student led class was the best part of the semester
12,5,5,4,5,,4,,5,,"Great class, sometimes wish more lecture, discussion boards helpful"
13,5,5,5,4,,5,,5,,"Didn't love the culture talk (not as insightful), loved discussion boards and presenting. Watching other people present was sometimes a bit confusing"
14,5,5,4,5,4,4,,,,liked culture and SDM. Sometimes articles were hard to understand
15,5,4,3,5,5,,,5,,More interactiv activities and less lecture. Preferred in class discussions. Student led days were great
16,5,5,5,5,,5,,5,,"Liked the classes and prompts from case studies. Not interest in EV/EU though, but good basis (maybe simplifying it a bit would be helpful). "
17,4,5,3,5,,,5,5,,"Loved student led class, expected more psychology related topics (maybe one on grief/guilt or something following MDM choices would be interesting). Posing specific questions to respond to could help make discussion boards better. "
18,5,5,4,4,5,,,4,,A little more structure with student led classes would be helpful. Covering MDM applications and how we can use it in our real life would be cool. 
19,4,4,3,5,,4,,5,,"Student led class was fun but vague (more instructions), more description on assignment requirements"
20,5,5,5,5,,5,,4,,Loved all the discussions and lectures.
21,5,5,3,5,5,,5,,,"Loved discussion, discussion boards encouraged doing the readings, but twice a week was a bit much"
22,5,5,4,5,,4,,4,,enjoyed all course content 
23,5,5,5,5,5,5,,,,Loved class. Maybe do small groups at start of class to share what you wrote in the discussion before sharing out loud to the class.
24,5,4,3,4,5,4,,,,Liked all the options to choose from for the assignments. Discussion posts raised good points but not always fully incorporated into class. Course structure useful but too many assignments for a half semester class (overwhelming) 
25,5,5,4,5,,,5,4,,"More on culture outside of student led class and training clinicians on risk communication. Student led class was fun but material maybe shouldn't be on the final. Not sure the exams make sense, the first one did since material was very tangible but for the second one it was difficult to know what material we had to know very well and such."
26,5,5,5,5,,5,,5,,"Teach a class was super helpful for learning. For more back and forth between students in discussion boards, maybe do more debatable prompts/debate/counter a student's points."
27,5,4,5,5,5,4,,,,"Liked discussion boards. More lecturing with slides would be helpful for studying for the exams. Maybe choose a handful of people to post for each reading, then have class respond to those posts so there is more discussion. Really liked the case studies because they were the most straightforward application of class material. "
28,5,4,3,5,5,5,,,,"Information on culture and surrogate decision making was particularly useful. Sometimes lectures were getting drawn out near the end, and student led lectures were all engaging . Discussion helps with exposure to material. Case studies related back to the material very well. "
